"";"x"
"496";"BauStoffPrAusbV 2005"
"497";"BauVorl-/BauPrüf-/ÜbAO"
"498";"BauwAbdAusbV"
"499";"BauWiAusbV 1999"
"500";"BauZAusbV 2002"
"501";"BAVBVO"
"502";"BAVSitzBek"
"503";"BAW/BAFAG"
"504";"BAZustAnO"
"505";"BBahnErnAnO 1975"
"506";"BBahnG"
"507";"BBahnVermG"
"508";"BBankG"
"509";"BBankGEÜV"
"510";"BBankG§36aEÜV"
"511";"BBankLV"
"512";"BBankPersV"
"513";"BBergG"
"514";"BBesG"
"515";"BBesG/BesÜGBek"
"516";"BBesG/BesÜGBek 2010"
"517";"BBesG/BesÜGBek 2011"
"518";"BBesG/BesÜGBek 2012"
"519";"BBesG/BesÜGBek 2014"
"520";"BBesG/BesÜGBek 2016"
"521";"BBesG/BesÜGBek 2018"
"522";"BBesG/BesÜGBek 2021"
"523";"BBesG/BesÜV2Bek"
"524";"BBesG/BesÜV2Bek 2008"
"525";"BBesGAnlIVNr1u4Bek"
"526";"BBesG§78Abs2Bek"
"527";"BBesG§78Abs2Bek 2019"
"528";"BBetreibZulV"
"529";"BBFestV 2013"
"530";"BBFestV 2014"
"531";"BBFestV 2015"
"532";"BBFestV 2016"
"533";"BBFestV 2017"
"534";"BBFestV 2018"
"535";"BBFestV 2019"
"536";"BBFestV 2020"
"537";"BBFestV 2021"
"538";"BBFestV 2022"
"539";"BBG"
"540";"BBhV"
"541";"BBiG"
"542";"BBiG2005§73AnO"
"543";"BBiG2005§73AnO 2014"
"544";"BBiG2005§73AnO 2015"
"545";"BBiG2005§73AnO 2015-06"
"546";"BBiG2005§73AnO 2023"
"547";"BBiGZustBek"
"548";"BBiG§84AnO 1"
"549";"BBiG§84AnO 10"
"550";"BBiG§84AnO 12"
"551";"BBiG§84AnO 13"
"552";"BBiG§84AnO 14"
"553";"BBiG§84AnO 15"
"554";"BBiG§84AnO 16"
"555";"BBiG§84AnO 17"
"556";"BBiG§84AnO 18"
"557";"BBiG§84AnO 19"
"558";"BBiG§84AnO 1979"
"559";"BBiG§84AnO 2"
"560";"BBiG§84AnO 3"
"561";"BBiG§84AnO 7"
"562";"BBiG§84AnO 8"
"563";"BBiG§84AnO 9"
"564";"BBKG"
"565";"BBodSchG"
"566";"BBodSchV"
"567";"BBPlG"
"568";"BBußAktFV"
"569";"BBVAnpG 91"
"570";"BBVAnpG 98"
"571";"BBVAnpG2000Art4uaBek"
"572";"BBVAnpG95Art3Abs3Bek"
"573";"BBVAnpG98Art4uaBek"
"574";"BBVAnpG99Art4uaBek"
"575";"BBVLG 1975"
"576";"BDBOSG"
"577";"BDBOSZertV"
"578";"BDG"
"579";"BDGBAFinDV"
"580";"BDGBIBBBMinBFAnO"
"581";"BDGBMASKDV"
"582";"BDGBMinGAnO"
"583";"BDGMinIAnO"
"584";"BDGPNEDV"
"585";"BDiGZustDBAnO"
"586";"BDNOG"
"587";"BDOBuKBMinAAnO"
"588";"BDO§35DeutschePostAGAnO 1999"
"589";"BDSG"
"590";"BDWV"
"591";"Beamt/BesRÄndG 5"
"592";"BeamtHaftBELBek"
"593";"BeamtHaftCHEBek"
"594";"BeamtHaftDNKBek"
"595";"BeamtHaftESPBek"
"596";"BeamtHaftFRABek"
"597";"BeamtHaftGRCBek"
"598";"BeamtHaftJPNBek"
"599";"BeamtHaftNLDBek"
"600";"BeamtHaftNORBek"
"601";"BeamtStG"
"602";"BeamtVG"
"603";"BeamtVGÄndG"
"604";"BeamtVGÄndG 1993"
"605";"BeamtVG§43Abs3V"
"606";"BeamtVÜV"
"607";"BeamtVZustAnO"
"608";"BeamtZustÜAnO"
"609";"BeauftrV"
"610";"BEBeamtAnO"
"611";"BEBeamtAnO 1996"
"612";"BEBeamtAnO 1999"
"613";"BEBußAktEV"
"614";"BECV"
"615";"BEDBPStruktG"
"616";"BedGgstV"
"617";"BEDV"
"618";"BEEG"
"619";"BefBedV"
"620";"BefBezG 2008"
"621";"BEFZustV 1979"
"622";"BEG"
"623";"BEGÄndG 3"
"624";"BEGDV1/2/3ÄndV"
"625";"BEGDV1/2/3ÄndV 2"
"626";"BEGDV1/2/3ÄndV 3"
"627";"BEGDV2ÄndV 4"
"628";"BEGDV3ÄndV 4"
"629";"BegleitG"
"630";"BeglV"
"631";"BEGSchlG"
"632";"BEGSchlGArt5V 1"
"633";"BEGSchlGArt5V 2"
"634";"BEGSchlGVerfV"
"635";"BEGTPG"
"636";"BEG§172DV 63"
"637";"BEG§172DV 64"
"638";"BehAppbAusbV"
"639";"BehAppMstrV"
"640";"BeherbMeldV"
"641";"BeherbStatG"
"642";"BEHG"
"643";"BEHV"
"644";"BehWerkPrZustV"
"645";"BehZAbk"
"646";"BeiratsV"
"647";"BeitrEntlG"
"648";"BeitrEntlKrG"
"649";"BeitrLV 2005"
"650";"BeitrLV 2006"
"651";"BeitrS. RV/BA ÄndG"
"652";"BelWertV"
"653";"BEMFV"
"654";"BergArbWoFöG"
"655";"BergArbWoFöGDV"
"656";"Bergbau-VersuchsstreckenV"
"657";"BergMAusbV"
"658";"BergRVÄndV"
"659";"BergtechAusbV"
"660";"BergÜbk"
"661";"BergÜbkG"
"662";"BergWoZErhV"
"663";"BergWoZSenkV"
"664";"BerHFV"
"665";"BerHG"
"666";"Berlin/BonnG"
"667";"BerlinFG 1990"
"668";"BerlinÜbk"
"669";"BerRehaG"
"670";"BerVersV"
"671";"BesatzRBerG"
"672";"BesatzReglVtrArt1Bek"
"673";"BesatzReglVtrTeil5Bek"
"674";"BeschG"
"675";"BeschMechAusbV"
"676";"BeschNeuRG"
"677";"BeschussV"
"678";"BeschV"
"679";"BESitzBek"
"680";"BestAusbV"
"681";"BestMstrV"
"682";"BEStrafAktEV"
"683";"BesÜG"
"684";"BesÜV2Bek 1992-03-09"
"685";"BesÜV2Bek 1993-06-02"
"686";"BesÜV2Bek 1994-01-14"
"687";"BesÜV2Bek 1994-09-10"
"688";"BesÜV2Bek 1996-02-21"
"689";"BesÜV2Bek 1997-06-18"
"690";"BesÜV2Bek 1998-12-03"
"691";"BetonFBAusbV"
"692";"BetrAVAbk LUX"
"693";"BetrAVG"
"694";"BetrKV"
"695";"BetrPrämDurchfG"
"696";"BetrPrämDurchfGZuckV"
"697";"BetrPrämDurchfV"
"698";"BetrPrämRegV 2014"
"699";"BetrSichV"
"700";"BetrSichV2015ÄndV2Ber"
"701";"BetrVG"
"702";"BetrVRG"
"703";"BetrWHwOPrV"
"704";"BeurkG"
"705";"BevStatG"
"706";"BEVVG"
"707";"BewachRV"
"708";"BewachV"
"709";"BewÄndG"
"710";"BewÄndG 1971"
"711";"BewAufnÜbkHaag"
"712";"BewG"
"713";"BewGÄndG"
"714";"BewGAnl27bis33NeufV"
"715";"BewG§122Abs3DV"
"716";"BewG§39DV 1"
"717";"BewG§39DV 2"
"718";"BewG§39DV 3"
"719";"BewG§55Abs3/4DV"
"720";"BewG§55Abs8DV"
"721";"BewG§81DV"
"722";"BewG§90DV"
"723";"BezeichnungsV"
"724";"BEZNG"
"725";"BfAAG"
"726";"BfAAWidVertrAnO"
"727";"BfAG"
"728";"BfAIPG"
"729";"BfArMSitzBek"
"730";"BfArMWidVertrAnO"
"731";"BfArMZustAnO"
"732";"BFD-WahlV"
"733";"BFDG"
"734";"BfEZustAnO"
"735";"BFinHBRuaG"
"736";"BFinHSHuaG"
"737";"BfJEAktfKV"
"738";"BfJG"
"739";"BfJWidVertrAnO"
"740";"BfkEG"
"741";"BfNatSchG"
"742";"BFöV"
"743";"BfRG"
"744";"BFSG"
"745";"BFStrMG"
"746";"BFStrSonGebV"
"747";"BG-V"
"748";"BGA-NachfG"
"749";"BGAktFV"
"750";"BGB"
"751";"BGBABest 1898"
"752";"BGBEG"
"753";"BGebG"
"754";"BGeoRG"
"755";"BGG"
"756";"BGH/BPatGERVV"
"757";"BGHWidVertrAnO"
"758";"BGL 2002"
"759";"BGL 2003"
"760";"BGL 2004"
"761";"BGL 2007"
"762";"BGleiG"
"763";"BGleiSV"
"764";"BGremBG"
"765";"BGruVerkOlympG"
"766";"BGRWG"
"767";"BGRWidAnO 2011"
"768";"BGS-JArbSchV"
"769";"BGSAAusglV"
"770";"BGSBDODAnO 1999"
"771";"BGSG"
"772";"BGSNeuRegG"
"773";"BGSPersG"
"774";"BGSResErnAnO"
"775";"BGSResOffBPräsErnAnO"
"776";"BGSVVermG"
"777";"BGVPLTAufgDV"
"778";"BGVPLTErG"
"779";"BHO"
"780";"BHV1V"
"781";"BIBBSitzBek"
"782";"BibuBAProFPrV"
"783";"BienSchV 1992"
"784";"BienSeuchV"
"785";"BierStDB"
"786";"BierStG"
"787";"BierStGemBY/BAG"
"788";"BierStGemWÜG"
"789";"BierStV"
"790";"BierV"
"791";"BIHDurchrVbg"
"792";"BIHDurchrVbgBek"
"793";"BilKoUmV"
"794";"BImADiszV"
"795";"BImAG"
"796";"BImAZustBek"
"797";"BImSchG"
"798";"BinSch-SportbootVermV"
"799";"BinSchAbfÜbkAG"
"800";"BinSchAbgasV"
"801";"BinSchAbk CSK"
"802";"BinSchAbk GEOR"
"803";"BinSchAbk HUN"
"804";"BinSchAbkGEORG"
"805";"BinSchAbkGEORProt"
"806";"BinSchArbZV"
"807";"BinSchAufgG"
"808";"BinSchAusbV"
"809";"BinSchEO"
"810";"BinSchEÜbk"
"811";"BinSchEÜbkG"
"812";"BinSchFondsG"
"813";"BinSchFuDVbg 2000"
"814";"BinSchFuDVbg2000Bek"
"815";"BinSchFuDVbgBek"
"816";"BinSchG"
"817";"BinSchGerG"
"818";"BinSchKapAusbV"
"819";"BinSchLotsVergV 2012"
"820";"BinSchLV"
"821";"BinSchOWiZustV 1974"
"822";"BinSchPersBefähPrV"
"823";"BinSchPersBetrEBefähPrV"
"824";"BinSchPersV"
"825";"BinSchSiV"
"826";"BinSchSprFunkV"
"827";"BinSchStrEV"
"828";"BinSchStrO"
"829";"BinSchÜbertragungsV"
"830";"BinSchÜbkG"
"831";"BinSchUkrAbkG"
"832";"BinSchUO"
"833";"BinSchUO2018Anh I"
"834";"BinSchUO2018Anh II"
"835";"BinSchUO2018Anh III"
"836";"BinSchUO2018Anh IV"
"837";"BinSchUO2018Anh IX"
"838";"BinSchUO2018Anh V"
"839";"BinSchUO2018Anh VII"
"840";"BinSchZV"
"841";"BioAbfV"
"842";"Biokraft-NachV"
"843";"BiomasseV"
"844";"BioMatHintV"
"845";"BioSt-NachV"
"846";"BioStoffV"
"847";"BismStiftG"
"848";"BITV 2.0"
"849";"BIZIHECAbkV"
"850";"BJagdG"
"851";"BJagdGÄndG"
"852";"BJagdGÄndG 2"
"853";"BKADV"
"854";"BKAG"
"855";"BKartASitzBek"
"856";"BKATerrAbwG"
"857";"BKatV"
"858";"BKGG"
"859";"BKleingÄndG"
"860";"BKleingG"
"861";"BKMBek"
"862";"BKMBGebV"
"863";"BKMZustAnO"
"864";"BKnEG"
"865";"BKompV"
"866";"BKOrgErl 1977"
"867";"BKOrgErl 1981"
"868";"BKOrgErl 1984"
"869";"BKOrgErl 1986"
"870";"BKOrgErl 1987"
"871";"BKOrgErl 1989"
"872";"BKOrgErl 1989-10"
"873";"BKOrgErl 1991"
"874";"BKOrgErl 1991-01"
"875";"BKOrgErl 1991-04"
"876";"BKOrgErl 1993"
"877";"BKOrgErl 1994"
"878";"BKOrgErl 1995-05"
"879";"BKOrgErl 2001"
"880";"BKOrgErl 2002"
"881";"BKOrgErl 2004"
"882";"BKOrgErl 2005"
"883";"BKOrgErl 2007"
"884";"BKOrgErl 2009"
"885";"BKOrgErl 2009-10"
"886";"BKOrgErl 2013"
"887";"BKOrgErl 2018"
"888";"BKOrgErl 2021"
"889";"BKOrgErl1994Bek"
"890";"BKOrgErl1995-05Bek"
"891";"BKOrgErl1995-07Bek"
"892";"BKOrgErl1995Bek"
"893";"BKOrgErl1997Bek"
"894";"BKOrgErl1998Bek"
"895";"BKOrgErl1999Bek"
"896";"BKrFQG"
"897";"BKrFQV"
"898";"BKrFQVAbluaÄndVBer"
"899";"BKRG"
"900";"BKV"
"901";"BKWid/BVtrAnO"
"902";"BKWid/VtrAnO"
"903";"BKWid/VtrBRKGuaAnO"
"904";"BlauSchimmelV 1978"
"905";"BlauzungenSchV 2006"
"906";"BlauzungenV"
"907";"BLBV"
"908";"BLEG"
"909";"BLES"
"910";"BLESitzBek"
"911";"BLESV"
"912";"BLG"
"913";"BLG 2000"
"914";"BlindKennzV"
"915";"BlutArmV 2010"
"916";"BlutZV"
"917";"BLV"
"918";"BMASBGebV"
"919";"BMASErnAnO"
"920";"BMASGBWidVertrAnO"
"921";"BMASZustAnO"
"922";"BmAusV"
"923";"BMDV-WS-BesGebV"
"924";"BMELBGebV"
"925";"BMeldDAV"
"926";"BMeldDigiV"
"927";"BMELWidVertrAnO"
"928";"BMFBDGAnO"
"929";"BMFJubAnO"
"930";"BMFlüJubAnO"
"931";"BMFNVAnO"
"932";"BMFSVZustAnO"
"933";"BMFWidVertrAnO"
"934";"BMFZVersAnO"
"935";"BMG"
"936";"BMGBGebV"
"937";"BMGSErnAnO 2003"
"938";"BMI-ArbSchGAnwV"
"939";"BMIBGebV"
"940";"BMIErnAnO 2005"
"941";"BMinASBDGAnO"
"942";"BMinBF/BIBBWidAnO"
"943";"BMinBFBeihZustAnO 2010"
"944";"BMinBFZustAnO"
"945";"BMinFSFJWid/BVtrAnO"
"946";"BMinFSFJWid/BVtrAnO 2001"
"947";"BMinFSFJWid/BVtrAnO 2003"
"948";"BMinG"
"949";"BMinGErnAnO"
"950";"BMinGSBRAnO"
"951";"BMinGSZustAnO"
"952";"BMinGWidAnO"
"953";"BMinGZustAnO"
"954";"BMinJDiszAnO"
"955";"BMinPTDiszAnO"
"956";"BMinUBhVZustAnO"
